"POINT_ID","coarse","clay","silt","sand","pH_in_H2O","pH_in_CaCl","OC","CaCO3","N","P","K","CEC","Notes","sample_ID","GPS_LAT","GPS_LONG","X","Y"
"48522792.00","10",20,61,19,8.16,7.5,18,66,1.7,15.9,298.7,19.9,NA,"423",48.01069,17.12648,17.12648,48.01069
"48462776.00","9",23,55,22,8.34,7.45,19.8,118,1.7,23.3,218.2,19.6,NA,"443",47.87284,17.02603,17.02603,47.87284
"48442784.00","12",24,59,17,7.77,7.19,14.5,5,1.5,0,49.6,20.4,NA,"422",47.94611,17.0092,17.0092,47.94611
"48382792.00","24",11,35,54,7.91,7.29,10.7,223,0.5,13,59.1,8.1,NA,"421",48.02286,16.93905,16.93905,48.02286
"48382788.00","2",30,56,14,7.04,6.55,20.2,4,1.7,28.2,227.8,21.1,NA,"441",47.98707,16.93416,16.93416,47.98707
"48342810.00","17",38,54,8,7.8,7.37,30.9,316,2.7,15.2,213.6,25.9,NA,"417",48.18739,16.90729,16.90729,48.18739
"48342774.00","10",25,34,41,7.64,7.19,36,81,3.2,37.2,322.2,25.8,NA,"442",47.86506,16.86387,16.86387,47.86506
"48302806.00","8",15,48,37,8.15,7.47,46.5,19,1.5,28.8,241.4,11.1,NA,"418",48.15426,16.84901,16.84901,48.15426
"48282804.00","0",23,59,18,7.34,7.02,43.5,197,3.7,0,117.4,28,NA,"420",48.13867,16.81997,16.81997,48.13867
"48262856.00","15",28,51,21,6.47,6.04,16.1,0,1.6,22.1,203.4,19.2,NA,"402",48.60545,16.85745,16.85745,48.60545
"48262816.00","7",14,41,45,8.32,7.44,14.2,67,1.3,16.2,139.6,13.9,NA,"413",48.24778,16.80766,16.80766,48.24778
"48242800.00","12",19,66,15,7.63,7.18,15.1,33,1.7,21.6,142.4,17.5,NA,"419",48.10614,16.76145,16.76145,48.10614
"48222820.00","5",9,18,73,7.62,7.22,25.7,17,2,0,95.8,15.7,NA,"414",48.28693,16.75884,16.75884,48.28693
"48222784.00","24",19,41,40,7.08,6.77,39.7,8,2.8,14.8,160.7,21.4,NA,"425",47.96495,16.71594,16.71594,47.96495
"48222780.00","11",24,57,19,7.71,7.09,13.4,117,1.5,11.9,182.7,17.4,NA,"424",47.9287,16.71116,16.71116,47.9287
"48202842.00","4",21,72,8,8.07,7.48,13.6,139,1.2,10.5,127.4,15.8,NA,"404",48.48543,16.75817,16.75817,48.48543
"48202836.00","15",23,72,5,7.87,7.11,18.5,4,1.7,11.6,225.5,24.8,NA,"411",48.43181,16.75078,16.75078,48.43181
"48182826.00","2",19,61,20,7.97,7.5,17,212,1.2,17.9,304.3,14.3,NA,"409",48.34389,16.71229,16.71229,48.34389
"48162858.00","2",22,33,44,7.81,7.32,23.1,15,1.9,42.4,583.8,20.6,NA,"403",48.63359,16.72349,16.72349,48.63359
"48162724.00","29",20,56,24,6.59,5.91,11.6,1,1.3,39,161.5,11.5,NA,"453",47.43188,16.56665,16.56665,47.43188
"48122798.00","18",22,59,19,7.9,7.4,19,74,1.5,31.5,299.4,20.3,NA,"401",48.09748,16.59847,16.59847,48.09748
"48122780.00","7",23,33,44,7.78,7.32,22.4,125,1.9,23,224.6,23.6,NA,"426",47.93676,16.57815,16.57815,47.93676
"48122770.00","30",29,53,18,7.15,6.8,14,2,1.7,33.4,216.4,17.6,NA,"439",47.84714,16.56614,16.56614,47.84714
